probes	mean_HR	mean_LR	log2FC	wilcoxon_pvalue
SSTR1	1.83033895652174	0.935717725	0.967965555519152	2.824e-05
PPFIA2	2.75660886956522	1.742202025	0.66198265244495	0.002011
COMP	2.26143604347826	1.635265025	0.467714725008125	0.02662
AC020571.3	2.01555313043478	2.7414977	-0.443788449818755	0.0001575
SRD5A2	1.94645891304348	2.64668125	-0.443332564200822	0.000179
SMOC1	1.5723102173913	2.1235566	-0.433596671974264	0.01355
BMP6	1.47018226086957	1.11552115	0.398277152407508	0.1024
CD38	2.83885217391304	3.63620075	-0.357124124779193	0.03578
ASPN	2.88450913043478	2.300989475	0.326071445499743	0.002595
SLC22A3	3.44365304347826	4.30034875	-0.320513869368319	0.005625
C2	2.37772856521739	2.8706345	-0.271785622380938	0.00707
MYBPC1	4.52224130434783	5.261231	-0.218362418969475	0.01412
FMOD	4.06113565217391	4.66468975	-0.199897912441233	0.009641
HMGB2	2.60609782608696	2.41274275	0.11121713832157	0.0371
